# Dist (pix)	Value(Jy/beam)	(pix = 0.0122067600413 arcsec)
0.000000000000000000e+00 -3.614502784330397844e-04
1.000000000000000000e+00 -4.953962052240967751e-04
2.000000000000000000e+00 -1.083931419998407364e-03
3.000000000000000000e+00 -2.183546544983983040e-03
4.000000000000000000e+00 -3.428003750741481781e-03
5.000000000000000000e+00 -4.228492267429828644e-03
6.000000000000000000e+00 -4.263063892722129822e-03
7.000000000000000000e+00 -3.721247892826795578e-03
8.000000000000000000e+00 -3.022932214662432671e-03
9.000000000000000000e+00 -2.320110797882080078e-03
1.000000000000000000e+01 -1.298937364481389523e-03
1.100000000000000000e+01 5.815810291096568108e-04
1.200000000000000000e+01 3.733030753210186958e-03
1.300000000000000000e+01 8.286571130156517029e-03
1.400000000000000000e+01 1.413343381136655807e-02
1.500000000000000000e+01 2.095565013587474823e-02
1.600000000000000000e+01 2.818892337381839752e-02
1.700000000000000000e+01 3.503976762294769287e-02
1.800000000000000000e+01 4.062775894999504089e-02
1.900000000000000000e+01 4.416428878903388977e-02
2.000000000000000000e+01 4.507283121347427368e-02
2.100000000000000000e+01 4.308407008647918701e-02
2.200000000000000000e+01 3.836624696850776672e-02
2.300000000000000000e+01 3.161280229687690735e-02
2.400000000000000000e+01 2.392699383199214935e-02
2.500000000000000000e+01 1.648703590035438538e-02
2.600000000000000000e+01 1.019112952053546906e-02
2.700000000000000000e+01 5.493171047419309616e-03
2.800000000000000000e+01 2.437855117022991180e-03
2.900000000000000000e+01 7.573432521894574165e-04
3.000000000000000000e+01 -3.586281309253536165e-05
3.100000000000000000e+01 -5.003919941373169422e-04
3.200000000000000000e+01 -1.045748125761747360e-03
3.300000000000000000e+01 -1.768004149198532104e-03
3.400000000000000000e+01 -2.468835562467575073e-03
