Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
490.36710644221506	25.566788208255012	0.10861499292257623
247.74107866753553	27.26168628138509	0.1253990939876313
515.15683104618	25.406417264702295	0.11046608631704982
515.15683104618	25.498716001358602	0.10932428359736268
488.02640150532466	25.792783265096773	0.11700775161470012
488.02640150532466	25.71557324933488	0.1148686315882707
454.23949279723456	26.100841247705386	0.11242739049736607
274.9535512742321	27.595534206526622	0.10905950735705472
274.95355237805836	27.595628655618302	0.10906018748745963
431.0914758692735	25.881691525440754	0.10371654152748966
431.0914758692735	25.892203873237424	0.10556681929723323
212.95909250224346	27.569646422394957	0.14569464106189625
492.90388604419485	25.414761096382595	0.11470583584214511
202.3602659411357	27.544864375273935	0.1409941581231953
202.3452024521276	27.56609764496837	0.15997251070667629
505.4288443582055	25.226161531290103	0.10402206296854573
515.1485107349973	24.84112484409242	0.1632026810012134
515.1459561178435	25.56005003632459	0.12678071471042537
202.36014958023242	27.535810831907643	0.11011281506985973
202.36014958023242	27.536826300093942	0.10908634402418506
506.71324196284627	25.73037833169725	0.228582531405504
247.73848672311686	27.246911395632694	0.10745386064507181
212.97321229226125	27.47994417955554	0.12947666886920656
212.97321229226125	27.359486986972037	0.12642998903760602
454.2456158837739	25.84110173525371	0.10247147676327895
454.2456158837739	25.83743914703152	0.10232024028466379
522.1205282583022	25.306819389334628	0.12088307358000044
