Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
77.04212528172307	31.3987574765159	0.10866366247151349
342.8281296678596	28.475191057946333	0.10334524688330517
310.21329940394446	28.779536586837366	0.10709523156384065
478.68386935223765	28.295373231408863	0.11506841843227127
39.43463577312707	31.74681479993405	0.10257430457681457
109.53571931791149	34.165356500597404	0.1090231728147397
458.9921112927351	29.071475037305984	0.12195896494062386
458.9921116334815	29.085811131216186	0.12169825465203184
159.2654709710266	32.341061087584336	0.21598589971160898
157.47197088521145	34.90268460051811	0.16652102827278423
662.8127301631021	27.544918248905372	0.10858883670369633
39.43463577312707	31.750681015395738	0.10207929290521013
112.57906164011851	32.922593758376635	0.1102176006963005
