Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
77.04212528172307	32.40516396781983	0.10518055539344989
342.8281296678596	29.432849851847035	0.101143626166983
478.68386935223765	29.104618630133874	0.1053283545750904
310.21329940394446	30.00687731348822	0.10107407125521171
39.43463577312707	32.263965225285816	0.1007309075359616
109.53571931791149	33.88020540361485	0.13118269945719543
458.9921112927351	30.909270412079493	0.10851113712176837
458.9921116334815	30.896814714715628	0.10809434105381117
159.2654709710266	34.08998391788915	0.11286023887018118
157.47197088521145	36.935945822560896	0.13434017901504944
112.57906164011851	33.75971229764578	0.1029154088138656
662.8127301631021	27.829848465190693	0.1039551258751393
39.43463577312707	32.26094282418775	0.10067988176636038
613.6217514757133	28.290417108564682	0.10323682475454118
