Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
247.73848672311686	27.246911395632694	0.10745386064507181
454.2456158837739	25.84110173525371	0.10247147676327895
454.2456158837739	25.83743914703152	0.10232024028466379
212.97321229226125	27.47994417955554	0.12947666886920656
212.97321229226125	27.359486986972037	0.12642998903760602
742.07276671688	27.80132414128868	0.10745386064507181
1394.6052318547027	28.54991267288841	0.10247147676327895
1394.6052318547027	28.54625008466622	0.10232024028466379
827.9764916684162	26.761821109519857	0.12947666886920656
827.9764916684162	26.64136391693635	0.12642998903760602
