Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
454.23949279723456	25.94516815569711	0.11405248335803862
515.15683104618	26.431625683699973	0.110179658850247
515.15683104618	26.345947085262758	0.10875298584316342
488.02640150532466	26.00844179469505	0.11836505624560922
488.02640150532466	26.02273459305654	0.11405239915514181
488.01685372391125	26.858505056304768	0.10483580311130138
488.01760910692326	26.873139876597197	0.10498720935602546
274.9439307743411	28.753247035544252	0.11073801450181936
274.95355237805836	27.523262361758178	0.29042961346626484
274.9535512742321	27.89542184839067	0.2223916647428369
506.71324196284627	26.60883014707358	0.21591757939888861
431.0914758692735	27.275318615307132	0.10301879230597964
431.0914758692735	27.260923476128696	0.10293260081934531
202.36014958023242	30.27817286543865	0.10263476258576047
202.36014958023242	30.277198603955373	0.10266294521174665
