Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
310.21329940394446	30.459404847719682	0.10536874676553803
77.04212528172307	32.65774356265551	0.10442007731673109
478.68386935223765	29.76889159165297	0.10989346232005212
458.9921112927351	31.397444977702207	0.10455329509117231
458.9921116334815	31.418772818750156	0.10501408802870484
39.43463577312707	32.37657654632351	0.1015588201603568
613.6217514757133	28.256375048437196	0.10319060693103732
662.8127301631021	28.573966878731532	0.10518107608861456
157.47197088521145	36.29786327176868	0.4252449679219102
112.57906164011851	32.79051243819999	0.1907852883935839
