Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
454.2456158837739	25.090419123096005	0.10921845851184175
454.2456158837739	25.090483625443834	0.10922540081396565
247.73848672311686	27.649596744714497	0.1110094249191588
212.97321229226125	26.460927277664446	0.1690966133915108
212.97321229226125	26.45191081551628	0.16646061319235866
636.8204548034073	26.711185791103883	0.11467565376491302
476.50206712893174	25.29298429136027	0.1330739294266792
1394.6052318547027	27.799230060730704	0.10921845851184175
1394.6052318547027	27.799294563078533	0.10922540081396565
742.07276671688	28.204009490370485	0.1110094249191588
827.9764916684162	25.742804207628758	0.1690966133915108
827.9764916684162	25.733787745480594	0.16646061319235866
247.73851338360433	25.46360787713757	0.11467565376491302
604.4335260544165	26.699181611361254	0.1330739294266792
